,Title,Rating,Rating Count and Reviews,Current Price,Original Price,Discount,Processor,RAM Capacity,Operating System,SSD Capacity,Screen Size
294,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin an...,4.1,"1,741 Ratings&134 Reviews","₹51,990","₹83,743",37% off,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
295,HP OMEN Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce...,4.3,138 Ratings&17 Reviews,"₹89,990","₹1,18,169",23% off,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,40.89 cm (16.1 Inch) Display
296,Infinix INBook X1 Neo Series Intel Celeron Quad Core N5100 - (8 GB/256 GB SSD/Windows 11 Home) XL22 Th...,4.2,"4,399 Ratings&599 Reviews","₹24,990","₹39,999",37% off,Intel Celeron Quad Core Processor,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display
297,ASUS ROG Strix G16 (2023) with 90WHr Battery Intel HX-Series Intel Core i7 13th Gen 13650HX - (16 GB/1...,4.3,19 Ratings&3 Reviews,"₹1,25,990","₹1,43,990",12% off,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display
298,HP 15s (2023) Intel Core i7 13th Gen 1360P - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0024TU Thin and L...,4.3,213 Ratings&19 Reviews,"₹77,990","₹88,862",12% off,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
299,Acer Chromebook Plus (2024) Intel Core i3 N305 - (8 GB/256 GB SSD/Chrome OS) CB514-4H-39T7 Chromebook,4,4 Ratings&0 Reviews,"₹26,990","₹49,999",46% off,Intel Core i3 Processor,8 GB LPDDR5 RAM,Chrome Operating System,256 GB SSD,35.56 cm (14 Inch) Display
300,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,4.3,165 Ratings&8 Reviews,"₹68,990","₹86,343",20% off,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
301,Infinix X1 Slim Series Intel Core i3 10th Gen 1005G1 - (8 GB/256 GB SSD/Windows 11 Home) XL21 Thin and...,4.3,"3,895 Ratings&457 Reviews","₹35,990","₹49,999",28% off,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display
302,Infinix INBook X2 Plus Intel Core i7 11th Gen 1195G7 - (16 GB/512 GB SSD/Windows 11 Home) XL25 Thin an...,3.9,78 Ratings&17 Reviews,"₹57,990","₹79,990",27% off,Intel Core i7 Processor (11th Gen),16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
303,Apple MacBook Air Apple M3 - (8 GB/512 GB SSD/macOS Sonoma) MRXW3HN/A,4.5,211 Ratings&15 Reviews,"₹1,26,890","₹1,34,900",5% off,Apple M3 Processor,8 GB Unified Memory RAM,Mac OS Operating System,512 GB SSD,33.02 cm (13 Inch) Display
304,"ASUS Vivobook 16X (2023) For Creator, Intel H-Series Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD...",5,3 Ratings&1 Reviews,"₹79,990","₹1,16,990",31% off,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Display
305,ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,4.3,512 Ratings&64 Reviews,"₹53,690","₹77,990",31% off,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,43.94 cm (17.3 Inch) Display
306,,,,,,,,,,,
307,,,,,,,,,,,
308,,4.3,,,,28% off,,,,,
309,,,,,,,,,,,
310,,,,,,,,,,,
311,,,,,,,,,,,
312,,,,,,,,,,,
