"id";"brand_name";"Title";"Rating";"rating_count";"reviews";"Current Price";"Original Price";"Discount";"Processor";"ram_capacity";"Operating System";"StorageCapacity";"Screen Size"
503;"Acer";"Acer Aspire 5 15 Intel Core i3 13th Gen 31305 U - (8 GB/512 GB SSD/Windows 11 Home) A515-58P Thin and ...";4.0;22;223;39990;49999;"20";"Intel Core i3 Processor (13th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
504;"HP";"HP Pavilion AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light...";4.3;1544;1544147;48990;61023;"19";"AMD Ryzen 5 Hexa Core Processor";8;"Windows 11";"512";"35.56 cm (14 Inch)"
505;"HP";"HP Intel Core 5 120U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1096TU Thin and Light Laptop";0.0;0;0;64990;73920;"12";"Intel Core 5 Processor";8;"Windows 11";"512";"39.62 cm (15.6 inch)"
506;"Lenovo";"Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 11320H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...";4.2;619;61953;50999;71290;"28";"Intel Core i5 Processor (11th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 inch)"
507;"HP";"HP Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0187TU Thin and Light Laptop";4.0;224;22419;52990;70841;"25";"Intel Core i5 Processor (13th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
508;"Acer";"Acer Aspire 5 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...";4.3;177;17718;57990;93999;"38";"Intel Core i5 Processor (13th Gen)";16;"Windows 11";"512";"35.56 cm (14 Inch)"
509;"Lenovo";"Lenovo Ideapad 330 Intel Core i5 8th Gen 8250U - (8 GB/1 TB HDD/DOS/2 GB Graphics) 330-15IKB Laptop";4.2;7037;7037969;32927;52853;"37";"Intel Core i5 Processor (8th Gen)";8;"DOS";"1024 ";"39.62 cm (15.6 inch)"
510;"MSI";"MSI Bravo 15 AMD Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD R...";4.4;3345;3345440;48199;72990;"33";"AMD Ryzen 5 Hexa Core Processor";8;"Windows 11";"512";"39.62 cm (15.6 inch)"
511;"ASUS";"ASUS ExpertBook P2 Intel Core i5 10th Gen 10210U - (8 GB/1 TB HDD/DOS/2 GB Graphics) ExpertBook P2 P24...";0.0;0;0;49395;77990;"36";"Intel Core i5 Processor (10th Gen)";8;"DOS";"1024 ";"35.56 cm (14 inch)"
512;"MSI";"MSI Modern 15 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B13M-291IN Th...";4.1;68;688;44990;64990;"30";"Intel Core i5 Processor (13th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
513;"ASUS";"ASUS ROG Zephyrus G14 OLED (2024) AMD Ryzen 9 Octa Core 8945HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB ...";0.0;0;0;174990;191990;"8";"AMD Ryzen 9 Octa Core Processor";0;"Windows 11";"1024 ";"35.56 cm (14 inch)"
514;"DELL";"DELL G15 Intel Core i5 13450HX - (8 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 305...";4.7;3;31;72990;88480;"17";"Intel Core i5 Processor";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
515;"DELL";"DELL G15-5530 Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA ...";3.8;20;201;78890;102317;"22";"Intel Core i5 Processor (13th Gen)";16;"Windows 11";"512";"39.62 cm (15.6 inch)"
516;"DELL";"DELL Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Pro) 3420 Business Laptop";3.3;15;153;50250;85000;"40";"Intel Core i5 Processor (11th Gen)";8;"Windows 10";"512";"35.56 cm (14 inch)"
517;"MSI";"MSI Katana A17 AI AMD Ryzen 7 Octa Core 8845HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...";0.0;0;0;119990;134990;"11";"AMD Ryzen 7 Octa Core Processor";16;"Windows 11";"1024 ";"43.94 cm (17.3 Inch)"
518;"MSI";"MSI Thin 15 Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...";0.0;0;0;82990;98990;"16";"Intel Core i7 Processor (12th Gen)";16;"Windows 11";"512";"39.62 cm (15.6 Inch)"
519;"HP";"HP 14s Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Windows 11 Home) 14s- dy2506TU Thin and Light ...";4.3;3163;3163324;35700;48933;"27";"Intel Core i3 Processor (11th Gen)";8;"Windows 11";"256";"35.56 cm (14 inch)"
520;"DELL";"DELL Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light La...";3.8;38;385;51999;68000;"23";"Intel Core i5 Processor (12th Gen)";16;"Windows 11";"512";"39.62 cm (15.6 Inch)"
521;"Lenovo";"Lenovo Yoga 7 2-in-1 AI PC WUXGA OLED Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) 14IML...";0.0;0;0;117990;160890;"26";"Intel Core Ultra 7 Processor";0;"Windows 11";"1024 ";"35.56 cm (14 inch) Touchscreen"
522;"HP";"HP Intel Core i5 12th Gen 1235U - (8 GB/1 TB SSD/Windows 11 Home) 15s-fq5331TU Thin and Light Laptop";4.2;2013;2013114;55999;68223;"17";"Intel Core i5 Processor (12th Gen)";8;"Windows 11";"1024 ";"39.62 cm (15.6 Inch)"
523;"Apple";"Apple MacBook Air Apple M3 - (8 GB/512 GB SSD/macOS Sonoma) MRYT3HN/A";4.5;211;21115;145490;154900;"6";"Apple M3 Processor";8;"macOS";"512";"38.1 cm (15 Inch)"
524;"Lenovo";"Lenovo V14 Intel Core i5 11th Gen 1135G7 - (8 GB/256 GB SSD/Windows 10) V14 Thin and Light Laptop";4.5;11;111;45990;62000;"25";"Intel Core i5 Processor (11th Gen)";8;"Windows 10";"256";"35.56 cm (14 inch)"
525;"WINGS";"WINGS Nuvobook Pro Aluminium Alloy Metal Body Intel Intel Core i7 11th Gen 1165G7 - (16 GB/512 GB SSD/...";4.0;117;11723;49990;89999;"44";"Intel Core i7 Processor (11th Gen)";16;"Windows 11";"512";"35.56 cm (14 Inch)"
